Problem:    
Rows:       464
Columns:    1792 (1792 integer, 0 binary)
Non-zeros:  3752
Status:     INTEGER OPTIMAL
Objective:  obj = 105 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 c1                         15                          15 
     2 c2                         15                          15 
     3 c3                         15                          15 
     4 c4                         15                          15 
     5 c5                         15                          15 
     6 c6                         15                          15 
     7 c7                         15                          15 
     8 c8                         23                          23 
     9 c9                         22                          29 
    10 c10                        15                          30 
    11 c11                        18                          18 
    12 c12                        27                          28 
    13 c13                        15                          19 
    14 c14                         0                          16 
    15 c15                         0             0             = 
    16 c16                         0             0             = 
    17 c17                         0             0             = 
    18 c18                         0             0             = 
    19 c19                         0             0             = 
    20 c20                         0             0             = 
    21 c21                         0             0             = 
    22 c22                         0             0             = 
    23 c23                         0             0             = 
    24 c24                         0             0             = 
    25 c25                         0             0             = 
    26 c26                         0             0             = 
    27 c27                         0             0             = 
    28 c28                         0             0             = 
    29 c29                         0             0             = 
    30 c30                         0             0             = 
    31 c31                         0             0             = 
    32 c32                         0             0             = 
    33 c33                         0             0             = 
    34 c34                         0             0             = 
    35 c35                         0             0             = 
    36 c36                         0             0             = 
    37 c37                         0             0             = 
    38 c38                         0             0             = 
    39 c39                         0             0             = 
    40 c40                         0             0             = 
    41 c41                         0             0             = 
    42 c42                         0             0             = 
    43 c43                         0             0             = 
    44 c44                         0             0             = 
    45 c45                         0             0             = 
    46 c46                         0             0             = 
    47 c47                         0             0             = 
    48 c48                         0             0             = 
    49 c49                         0             0             = 
    50 c50                         0             0             = 
    51 c51                         0             0             = 
    52 c52                         0             0             = 
    53 c53                         0             0             = 
    54 c54                         0             0             = 
    55 c55                         0             0             = 
    56 c56                         0             0             = 
    57 c57                         0             0             = 
    58 c58                         0             0             = 
    59 c59                         0             0             = 
    60 c60                         0             0             = 
    61 c61                         0             0             = 
    62 c62                         0             0             = 
    63 c63                         0             0             = 
    64 c64                         0             0             = 
    65 c65                         0             0             = 
    66 c66                         0             0             = 
    67 c67                         0             0             = 
    68 c68                         0             0             = 
    69 c69                         0             0             = 
    70 c70                         0             0             = 
    71 c71                         0             0             = 
    72 c72                         0             0             = 
    73 c73                         0             0             = 
    74 c74                         0             0             = 
    75 c75                         0             0             = 
    76 c76                         0             0             = 
    77 c77                         0             0             = 
    78 c78                         0             0             = 
    79 c79                         0             0             = 
    80 c80                         0             0             = 
    81 c81                         0             0             = 
    82 c82                         0             0             = 
    83 c83                         0             0             = 
    84 c84                         0             0             = 
    85 c85                         0             0             = 
    86 c86                         0             0             = 
    87 c87                         0             0             = 
    88 c88                         0             0             = 
    89 c89                         0             0             = 
    90 c90                         0             0             = 
    91 c91                         0             0             = 
    92 c92                         0             0             = 
    93 c93                         0             0             = 
    94 c94                         0             0             = 
    95 c95                         0             0             = 
    96 c96                         0             0             = 
    97 c97                         0             0             = 
    98 c98                         0             0             = 
    99 c99                         0             0             = 
   100 c100                        0             0             = 
   101 c101                        0             0             = 
   102 c102                        0             0             = 
   103 c103                        0             0             = 
   104 c104                        0             0             = 
   105 c105                        0             0             = 
   106 c106                        0             0             = 
   107 c107                        0             0             = 
   108 c108                        0             0             = 
   109 c109                        0             0             = 
   110 c110                        0             0             = 
   111 c111                        0             0             = 
   112 c112                        0             0             = 
   113 c113                        0             0             = 
   114 c114                        0             0             = 
   115 c115                        0             0             = 
   116 c116                        0             0             = 
   117 c117                        0             0             = 
   118 c118                        0             0             = 
   119 c119                        0             0             = 
   120 c120                        0             0             = 
   121 c121                        0             0             = 
   122 c122                        0             0             = 
   123 c123                        0             0             = 
   124 c124                        0             0             = 
   125 c125                        0             0             = 
   126 c126                        0             0             = 
   127 c127                        0             0             = 
   128 c128                        0             0             = 
   129 c129                        0             0             = 
   130 c130                        0             0             = 
   131 c131                        0             0             = 
   132 c132                        0             0             = 
   133 c133                        0             0             = 
   134 c134                        0             0             = 
   135 c135                        0             0             = 
   136 c136                        0             0             = 
   137 c137                        0             0             = 
   138 c138                        0             0             = 
   139 c139                        0             0             = 
   140 c140                        0             0             = 
   141 c141                        0             0             = 
   142 c142                        0             0             = 
   143 c143                        0             0             = 
